"Name","PFS","Source","Rarity","Traits","Level","Prerequisites","Benefits","Spoilers?"
"<u><a href=""Feats.aspx?ID=2043"">Resourceful Ritualist</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","6","<u><a href=""Feats.aspx?ID=2041"">Ritualist Dedication</a></u>","You can cast difficult rituals that might otherwise be just beyond your skill.","—"
"<u><a href=""Feats.aspx?ID=1109"">Uzunjati Storytelling</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","6","<u><a href=""Feats.aspx?ID=1102"">Magaambyan Attendant Dedication</a></u>; Uzunjati affiliation; master in a <u><a href=""Actions.aspx?ID=26"">Recall Knowledge</a></u> skill","You tell a quick story or begin telling a longer tale.","—"
"<u><a href=""Feats.aspx?ID=2107"">Advanced First Aid</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=89"">Healing</a></u>, <u><a href=""Traits.aspx?ID=104"">Manipulate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=9"">Medicine</a></u>","Use First Aid to reduce frightened and sickened condition values.","—"
"<u><a href=""Feats.aspx?ID=2108"">Aerobatics Mastery</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=1"">Acrobatics</a></u>","Improve your ability to Maneuver in Flight.","—"
"<u><a href=""Feats.aspx?ID=3589"">Ashen Veil</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=123"" title=""Knights of Lastwall"">Knights of Lastwall</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=104"">Manipulate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","<u><a href=""Feats.aspx?ID=1097"">Knight Reclaimant Dedication</a></u>; expert in <u><a href=""Skills.aspx?ID=13"">Religion</a></u> and master in <u><a href=""Skills.aspx?ID=15"">Stealth</a></u>","By smearing ash or tainted earth over your skin and armor, you shroud yourself from the dead.","—"
"<u><a href=""Feats.aspx?ID=759"">Battle Cry</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=7"">Intimidation</a></u>","Demoralizes foes when you roll for initiative.","—"
"<u><a href=""Feats.aspx?ID=1174"">Battle Prayer</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=17"" title=""Gods & Magic"">Gods & Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=48"">Divine</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=13"">Religion</a></u>; you follow a deity","Calling out to your deity, you recite scripture to harm a foe","—"
"<u><a href=""Feats.aspx?ID=2113"">Biographical Eye</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=142"">Secret</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=14"">Society</a></u>","Intuit details about someone’s profession and residence.","—"
"<u><a href=""Feats.aspx?ID=761"">Bizarre Magic</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>","Your magic becomes more difficult to identify.","—"
"<u><a href=""Feats.aspx?ID=1175"">Bless Tonic</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=17"" title=""Gods & Magic"">Gods & Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=128"">Positive</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>; deity who grants <u><a href=""Spells.aspx?ID=148""><i>heal</i></a></u> divine font","You channel positive energy into restoratives that ward against harm","—"
"<u><a href=""Feats.aspx?ID=1176"">Bless Toxin</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=17"" title=""Gods & Magic"">Gods & Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=118"">Negative</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>; deity who grants <u><a href=""Spells.aspx?ID=146""><i>harm</i></a></u> divine font","You pour negative energy into toxins you create to further debilitate your targets","—"
"<u><a href=""Feats.aspx?ID=3840"">Chronocognizance</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","<u><a href=""Feats.aspx?ID=3839"">Time Mage Dedication</a></u>; master in Perception","The flows and ebbs of time are obvious to you, as are the tangles that form when it's distorted.","—"
"<u><a href=""Feats.aspx?ID=2117"">Consult the Spirits</a></u>","<img alt=""PFS Limited"" title=""PFS Limited"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Limited.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=142"">Secret</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=10"">Nature</a></u>, <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>, or <u><a href=""Skills.aspx?ID=13"">Religion</a></u>","Learn about your environment from resident spirits.","—"
"<u><a href=""Feats.aspx?ID=2123"">Disturbing Knowledge</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=60"">Emotion</a></u>, <u><a href=""Traits.aspx?ID=68"">Fear</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=106"">Mental</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>","Frighten foes with occult secrets.","—"
"<u><a href=""Feats.aspx?ID=2124"">Doublespeak</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=5"">Deception</a></u>","Pass a secret message to allies in your conversation.","—"
"<u><a href=""Feats.aspx?ID=3151"">Efficient Controls</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","<u><a href=""Feats.aspx?ID=3147"">Vehicle Mechanic Dedication</a></u>; master in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","By reducing redundant systems and streamlining essential functions, you have made it easier for the vehicle to operate with fewer crew.","—"
"<u><a href=""Feats.aspx?ID=1066"">Entourage</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=12"" title=""Character Guide"">Character Guide</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=6"">Diplomacy</a></u>; <u><a href=""Feats.aspx?ID=791"">Hobnobber</a></u>","You have a small group of admirers who tend to follow you around while you’re in civilized settlements.","—"
"<u><a href=""Feats.aspx?ID=1179"">Environmental Grace</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=17"" title=""Gods & Magic"">Gods & Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=16"">Survival</a></u>; deity who grants the <u><a href=""Domains.aspx?ID=41"">cold</a></u>, <u><a href=""Domains.aspx?ID=13"">fire</a></u>, <u><a href=""Domains.aspx?ID=22"">nature</a></u>, or <u><a href=""Domains.aspx?ID=30"">travel</a></u> domain","You rapidly adapt to environments through a combination of skill, meditation, and divine grace","—"
"<u><a href=""Feats.aspx?ID=1180"">Evangelize</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=17"" title=""Gods & Magic"">Gods & Magic</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=16"">Auditory</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=101"">Linguistic</a></u>, <u><a href=""Traits.aspx?ID=106"">Mental</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=6"">Diplomacy</a></u>; you follow a deity or philosophy","You point out a detail that incontrovertibly supports your faith, causing a listener’s mind to whirl","—"
"<u><a href=""Feats.aspx?ID=2061"">Expert Disassembler</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>; <u><a href=""Feats.aspx?ID=2058"">Scrounger Dedication</a></u>","You can apply the same techniques you use to reverse engineer objects to disable them.","—"
"<u><a href=""Feats.aspx?ID=1938"">Fabricated Connections</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","<u><a href=""Feats.aspx?ID=1935"">Dandy Dedication</a></u>; master in <u><a href=""Skills.aspx?ID=5"">Deception</a></u>","You can lie about having taken an action so convincingly that you acquire all the tangible benefits of having successfully completed it.","—"
"<u><a href=""Feats.aspx?ID=785"">Foil Senses</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=15"">Stealth</a></u>","Take precautions against special senses.","—"
"<u><a href=""Feats.aspx?ID=1876"">Graceful Leaper</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","<u><a href=""Feats.aspx?ID=1873"">Acrobat Dedication</a></u>; master in <u><a href=""Skills.aspx?ID=1"">Acrobatics</a></u>","Mass and muscle are meaningless when you leap; only grace and balance matter.","—"
"<u><a href=""Feats.aspx?ID=792"">Impeccable Crafting</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>; <u><a href=""Feats.aspx?ID=844"">Specialty Crafting</a></u>","Craft items more efficiently.","—"
"<u><a href=""Feats.aspx?ID=2134"">Influence Nature</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=49"">Downtime</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=10"">Nature</a></u>","Influence the behavior of certain animals in the area.","—"
"<u><a href=""Feats.aspx?ID=798"">Inventor</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=49"">Downtime</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","Use Crafting to create item formulas.","—"
"<u><a href=""Feats.aspx?ID=799"">Kip Up</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=1"">Acrobatics</a></u>","Stand up for free without triggering reactions.","—"
"<u><a href=""Feats.aspx?ID=3775"">Morphic Manipulation</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=159"">Uncommon</a></u>","<u><a href=""Traits.aspx?ID=66"">Exploration</a></u>, <u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=117"">Necromancy</a></u>, <u><a href=""Traits.aspx?ID=128"">Positive</a></u>, <u><a href=""Traits.aspx?ID=134"">Primal</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=10"">Nature</a></u>","You've attuned your natural aura to that of plant life, coaxing it to grow faster than normal.","—"
"<u><a href=""Feats.aspx?ID=3812"">Muscle Mimicry</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=129"" title=""Dark Archive"">Dark Archive</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=32"">Concentrate</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","<u><a href=""Feats.aspx?ID=3807"">Alter Ego Dedication</a></u>; master in <u><a href=""Skills.aspx?ID=5"">Deception</a></u> and trained in <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>","Your study of another allows you to mirror their movements subtly, even in the heat of combat.","—"
"<u><a href=""Feats.aspx?ID=2171"">Paragon Battle Medicine</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=40"" title=""Legends"">Legends</a></u>","<u><a href=""Traits.aspx?ID=137"">Rare</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","<u><a href=""Feats.aspx?ID=760"">Battle Medicine</a></u>; master in <u><a href=""Skills.aspx?ID=9"">Medicine</a></u>","Kassi Aziril taught you her techniques that originated the modern use of Battle Medicine.","—"
"<u><a href=""Feats.aspx?ID=1939"">Party Crasher</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","<u><a href=""Feats.aspx?ID=1935"">Dandy Dedication</a></u>; master in <u><a href=""Skills.aspx?ID=14"">Society</a></u>","You attend all the fashionable society parties, no matter how exclusive they might be.","—"
"<u><a href=""Feats.aspx?ID=819"">Planar Survival</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=16"">Survival</a></u>","Use Survival to Subsist on different planes.","—"
"<u><a href=""Feats.aspx?ID=3570"">Prepare Papers</a></u>","—","<u><a href=""Sources.aspx?ID=119"" title=""Pathfinder #178: Punks in a Powderkeg"">Pathfinder #178</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","<u><a href=""Feats.aspx?ID=3568"">Alkenstar Agent Dedication</a></u>; master in <u><a href=""Skills.aspx?ID=14"">Society</a></u>","You're practiced at creating forgeries that establish your outlaw credentials or augment your legal authority.","—"
"<u><a href=""Feats.aspx?ID=3136"">Propeller Attachment</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","<u><a href=""Feats.aspx?ID=3134"">Trapsmith Dedication</a></u>; master in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","You've mastered attaching clockwork propellers to your daily quick-deploy snares that use gears.","—"
"<u><a href=""Feats.aspx?ID=3144"">Push it</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=98"" title=""Guns & Gears"">Guns & Gears</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=12"">Archetype</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","<u><a href=""Feats.aspx?ID=3140"">Trick Driver Dedication</a></u>; master in <u><a href=""Skills.aspx?ID=8"">Driving Lore</a></u>","You can push your vehicle's performance beyond the limits envisioned by its makers.","—"
"<u><a href=""Feats.aspx?ID=821"">Quick Climb</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>","Climb swiftly.","—"
"<u><a href=""Feats.aspx?ID=826"">Quick Recognition</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=2"">Arcana</a></u>, <u><a href=""Skills.aspx?ID=10"">Nature</a></u>, <u><a href=""Skills.aspx?ID=11"">Occultism</a></u>, or <u><a href=""Skills.aspx?ID=13"">Religion</a></u>; <u><a href=""Feats.aspx?ID=834"">Recognize Spell</a></u>","Identify spells as a free action.","—"
"<u><a href=""Feats.aspx?ID=829"">Quick Swim</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=3"">Athletics</a></u>","Swim quickly.","—"
"<u><a href=""Feats.aspx?ID=830"">Quick Unlock</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=1"" title=""Core Rulebook"">Core Rulebook</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=17"">Thievery</a></u>","Pick a Lock with 1 action.","—"
"<u><a href=""Feats.aspx?ID=2145"">Rapid Affixture</a></u>","<img alt=""PFS Standard"" title=""PFS Standard"" style=""height:18px; padding:2px 10px 0px 2px"" src=""Images\Icons\PFS_Standard.png"">","<u><a href=""Sources.aspx?ID=39"" title=""Advanced Player's Guide"">Advanced Player's Guide</a></u>","<u><a href=""Traits.aspx?ID=28"">Common</a></u>","<u><a href=""Traits.aspx?ID=78"">General</a></u>, <u><a href=""Traits.aspx?ID=144"">Skill</a></u>","7","master in <u><a href=""Skills.aspx?ID=4"">Crafting</a></u>","Afﬁx a Talisman in less time.","—"
